"Code","Name","InstalledC","Status","B","B_rank","F","F_rank","M","M_rank","R","R_rank","retrofitted"
"L081","Nam San 2",60,"P",0.29,77,"0.26",33,"0.27",30,"0.39",34,"No"
"L082","Nam Pok",2.6,"P",0.79,29,"1",1,"1",1,"0.95",4,"Yes"
"L083","Nam Phak",0,"P",0,97,"0.02",44,"0.01",44,"0",45,"Yes"
"L084","Nam Hinboun 1",0,"P",0.04,89,"0",45,"0",45,"0.00999999999999999",44,"Yes"
"L086","Xe Bang Fai",63,"P",0.04,90,"0.09",40,"0.06",40,"0.16",37,"Yes"
"L088","Nam Theun 4",80,"P",0.57,56,"0.66",21,"0.65",19,"0.95",6,"No"
"L089","Nam Mouan",100,"P",0.72,35,"0.86",10,"0.83",11,"0.96",2,"No"
"L090","Xe Bang Hieng 2",90,"P",0.76,32,"0.73",17,"0.63",20,"0.9",9,"No"
"L091","Xedon 2",20,"P",0.03,93,"0.39",29,"0.17",36,"0.08",40,"Yes"
"L097","Xe Nam Noy 5",20,"P",0.44,66,"0.19",38,"0.15",37,"0.46",30,"No"
"L099","Nam Kong 2",66,"C",0.93,9,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"C002","Lower Se San 2",400,"C",0.36,71,"Existing",NA,"Existing",NA,"Removed",NA,"Yes"
"C003","Battambang 1",24,"P",0.02,94,"0.04",41,"0.03",41,"0.06",42,"Yes"
"C005","Sambor",2600,"P",0.28,78,"0.3",32,"0.5",25,"0.42",33,"Yes"
"C006","Stung Treng",900,"P",0.17,82,"0.6",23,"0.31",29,"0.12",39,"Yes"
"C008","Stung Pursat 2",10,"P",0.02,95,"0.04",42,"0.03",42,"0.08",41,"Yes"
"C009","Lower Se San 3",260,"P",0.56,57,"0.61",22,"0.6",21,"0.61",23,"No"
"C010","Prek Liang 1",72,"P",0.91,15,"0.92",6,"0.79",13,"0.85",13,"No"
"C011","Prek Liang 2",56,"P",0.91,16,"0.91",8,"0.76",16,"0.87",11,"No"
"C012","Lower Sre Pok 3 (3A)",300,"P",0.38,69,"0.57",24,"0.52",23,"0.5",28,"No"
"C013","Lower Sre Pok 4",48,"P",0.3,76,"0.42",28,"0.5",24,"0.47",29,"No"
"C014","Stung Sen",23,"P",0.02,96,"0.04",43,"0.02",43,"0.14",38,"Yes"
"C015","Sekong",190,"P",0.1,85,"0.17",39,"0.08",39,"0.23",36,"Yes"
"C016","Lower Se San 1",96,"P",0.91,14,"0.83",11,"0.77",15,"0.8",15,"Yes"
"V002","Plei Krong",100,"E",0.76,33,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"V003","Yali",720,"E",0.91,10,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"V004","Se San 3",260,"E",0.91,11,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"V005","Se San 3A",96,"E",0.9,17,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"V006","Se San 4",360,"E",0.91,12,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"V007","Se San 4A",63,"E",0.91,13,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"V008","Duc Xuyen",58,"P",0.64,45,"0.38",30,"0.39",27,"0.74",17,"No"
"V009","Buon Tua Srah",86,"E",0.71,39,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"V010","Buon Kuop",280,"E",0.82,21,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"V011","Dray Hlinh 2",16,"E",0.82,22,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"V012","Sre Pok 3",220,"E",0.82,24,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"V013","Sre Pok 4",80,"E",0.67,42,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"V014","Dray Hlinh 1",12,"E",0.82,23,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"T002","Huai Kum",1.18,"E",0.31,74,"Existing",NA,"Existing",NA,"Existing",NA,"No"
"T004","Pak Mun",136,"E",0.03,92,"Existing",NA,"Existing",NA,"Removed",NA,"Yes"
"T006","Ubol Ratana",25.2,"E",0.08,86,"Existing",NA,"Existing",NA,"Removed",NA,"Yes"
"T007","Lam Ta Khong P.S.",500,"E",0.93,7,"Existing",NA,"Existing",NA,"Existing",NA,"No"
